transaction_time;customer;product_name;category_name;quantity;unit_price
2018-04-02 08:25:11;yvonne_moncada.fejkmejl@gmail.com;Lakkalikööri;Beverages;10;18.0
2018-04-02 08:27:04;renate_messner.fejkmejl@gmail.com;Alice Mutton;Meat/Poultry;15;39.0
2018-04-02 08:43:53;maria_larsson.fejkmejl@gmail.com;Outback Lager;Beverages;9;15.0
2018-04-02 09:03:40;felipe_izquierdo.fejkmejl@gmail.com;Steeleye Stout;Beverages;9;18.0
2018-04-02 09:04:33;roland_mendel.fejkmejl@gmail.com;Rössle Sauerkraut;Produce;70;45.6
2018-04-02 09:05:20;christina_berglund.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;6;4.5
2018-04-02 09:11:52;martine_rancé.fejkmejl@gmail.com;Guaraná Fantástica;Beverages;20;4.5
2018-04-02 09:16:37;maria_larsson.fejkmejl@gmail.com;Kalafior Krzyś;Luxury;40;314.16
2018-04-02 09:19:14;jaime_yorres.fejkmejl@gmail.com;Original Frankfurter grüne Soße;Condiments;2;13.0
2018-04-02 09:19:27;roland_mendel.fejkmejl@gmail.com;Vegie-spread;Condiments;35;43.9
2018-04-02 09:35:20;lúcia_carvalho.fejkmejl@gmail.com;Rössle Sauerkraut;Produce;8;45.6
2018-04-02 09:37:56;roland_mendel.fejkmejl@gmail.com;Alice Mutton;Meat/Poultry;45;39.0
2018-04-02 09:41:36;pirkko_koskitalo.fejkmejl@gmail.com;Gnocchi di nonna Alice;Grains/Cereals;20;38.0
2018-04-02 09:48:05;annette_roulet.fejkmejl@gmail.com;NuNuCa Nuß-Nougat-Creme;Confections;10;14.0
2018-04-02 09:48:58;bernardo_batista.fejkmejl@gmail.com;Konbu;Seafood;20;6.0
2018-04-02 10:02:11;roland_mendel.fejkmejl@gmail.com;Sasquatch Ale;Beverages;60;14.0
2018-04-02 10:03:43;maurizio_moroni.fejkmejl@gmail.com;Spegesild;Seafood;20;12.0
2018-04-02 10:18:37;laurence_lebihan.fejkmejl@gmail.com;Zaanse koeken;Confections;30;9.5
2018-04-02 10:30:17;palle_ibsen.fejkmejl@gmail.com;Raclette Courdavault;Dairy Products;18;55.0
